State_Name,District_Name,Crop_Year,Season,Crop,Area,Unit,Value,Domain,Unit,Value,average_rain_fall_mm_per_year,hg/ha_yield,pesticides_tonnes,avg_temp,humidity,ph
Karnataka,MYSORE,1997,Kharif     ,Rice,105069,hg/ha,147831,Pesticides Use,tonnes of active ingredients,970,1972,14754,145552,27.85,78.51063754,6.855362875
Karnataka,MYSORE,1997,Rabi       ,Rice,817,hg/ha,158500,Pesticides Use,tonnes of active ingredients,296,282,92000,145552,21.3,70.95705996,7.311077075
Karnataka,MYSORE,1997,Summer     ,Rice,20560,hg/ha,5746,Pesticides Use,tonnes of active ingredients,327,282,92000,145552,19.49,89.05587886,7.432768147
Karnataka,MYSORE,1998,Kharif     ,Rice,95399,hg/ha,17004,Pesticides Use,tonnes of active ingredients,0.06,560,33671,214725,18.75,62.26244581,6.647765997
Karnataka,MYSORE,1998,Rabi       ,Rice,612,hg/ha,17892,Pesticides Use,tonnes of active ingredients,1.78,560,213525,214725,25.94,68.49299897,6.516312148
Karnataka,MYSORE,1998,Summer     ,Rice,13655,hg/ha,30076,Pesticides Use,tonnes of active ingredients,192,560,35565,214725,17.88,67.09608099,6.809593554
Karnataka,MYSORE,1999,Kharif     ,Rice,91444,hg/ha,405405,Pesticides Use,tonnes of active ingredients,371.9,560,23005,214725,17.88,57.93250202,7.162802357
Karnataka,MYSORE,1999,Rabi       ,Rice,1687,hg/ha,554855,Pesticides Use,tonnes of active ingredients,11.21,560,114957,214725,27.24,64.47858698,6.937352845
Karnataka,MYSORE,1999,Summer     ,Rice,17520,hg/ha,181169,Pesticides Use,tonnes of active ingredients,11.21,92,20728,214725,20.05,68.4233391,6.348337519
Karnataka,MYSORE,2000,Kharif     ,Rice,91522,hg/ha,91222,Pesticides Use,tonnes of active ingredients,261.47,92,136059,232232,18.53,52.12739421,6.758792552
Karnataka,MYSORE,2000,Rabi       ,Rice,1179,hg/ha,16070,Pesticides Use,tonnes of active ingredients,909,2041,30403,232232,20.78,61.03273481,6.217974349
Karnataka,MYSORE,2000,Summer     ,Rice,16308,hg/ha,18533,Pesticides Use,tonnes of active ingredients,909,2041,220095,232232,22.05,55.51673151,6.273741983
Karnataka,MYSORE,2001,Kharif     ,Rice,102365,hg/ha,27409,Pesticides Use,tonnes of active ingredients,24219,758,19296,232232,18.53,67.06230539,6.787658922
Karnataka,MYSORE,2001,Rabi       ,Rice,176,hg/ha,42831,Pesticides Use,tonnes of active ingredients,27421,758,22303,232232,28.17,65.44340921,6.392791654
Karnataka,MYSORE,2001,Summer     ,Rice,12254,hg/ha,47752,Pesticides Use,tonnes of active ingredients,39534.43,758,22303,232232,24.79,53.74144743,6.334610249
Karnataka,MYSORE,2002,Kharif     ,Rice,80233,hg/ha,19287,Pesticides Use,tonnes of active ingredients,9712,758,19735,232232,25.7,54.28617819,6.854011265
Karnataka,MYSORE,2002,Rabi       ,Rice,627,hg/ha,13913,Pesticides Use,tonnes of active ingredients,59,758,140463,238716,21.82,52.25738495,7.456460375
Karnataka,MYSORE,2002,Summer     ,Rice,2487,hg/ha,17770,Pesticides Use,tonnes of active ingredients,88,450,140463,238716,27.34,69.94807345,7.045543056
Karnataka,MYSORE,2003,Kharif     ,Rice,76564,hg/ha,80000,Pesticides Use,tonnes of active ingredients,79491.7,,38798,238716,24.57,73.19897535,6.998787171
Karnataka,MYSORE,2003,Rabi       ,Rice,2484,hg/ha,204000,Pesticides Use,tonnes of active ingredients,35579,,22223,238716,25.41,79.47557931,6.842966479
Karnataka,MYSORE,2003,Summer     ,Rice,2454,hg/ha,27273,Pesticides Use,tonnes of active ingredients,30995.26,,23796,238716,20.6,81.13449097,6.691074249
Karnataka,MYSORE,2004,Kharif     ,Rice,99284,hg/ha,59845,Pesticides Use,tonnes of active ingredients,1,241,92308,238716,18.47,63.65861483,7.184801627
Karnataka,MYSORE,2004,Rabi       ,Rice,48,hg/ha,65967,Pesticides Use,tonnes of active ingredients,400975.9,241,140099,304031,20.93,57.72920846,7.101661011
Karnataka,MYSORE,2004,Summer     ,Rice,19148,hg/ha,84933,Pesticides Use,tonnes of active ingredients,424562.11,241,37852,304031,22.19,52.89368299,6.081172981
Karnataka,MYSORE,2005,Kharif     ,Rice,99671,hg/ha,4956,Pesticides Use,tonnes of active ingredients,3362.05,346,38260,304031,27.92,55.51673151,6.273741983
Karnataka,MYSORE,2005,Rabi       ,Rice,35,hg/ha,7240,Pesticides Use,tonnes of active ingredients,19028.6,346,21731,304031,24.78,63.37479229,6.726528895
Karnataka,MYSORE,2005,Summer     ,Rice,21147,hg/ha,7075,Pesticides Use,tonnes of active ingredients,198,1032,28133,304031,27.32,52.26311691,7.432322234
Karnataka,MYSORE,2006,Kharif     ,Rice,100912,hg/ha,11028,Pesticides Use,tonnes of active ingredients,131,1032,22199,304031,19.05,60.39647474,6.779832611
Karnataka,MYSORE,2006,Rabi       ,Rice,202,hg/ha,99211,Pesticides Use,tonnes of active ingredients,3928,2091,92593,304031,24.78,74.36794079,6.014572075
Karnataka,MYSORE,2006,Summer     ,Rice,13280,hg/ha,24286,Pesticides Use,tonnes of active ingredients,3928,2091,141371,312637,27.54,88.07112278,6.880204617
Karnataka,MYSORE,2007,Kharif     ,Rice,105745,hg/ha,8242,Pesticides Use,tonnes of active ingredients,19154,285,42311,312637,21.86,66.99765375,7.482414225
Karnataka,MYSORE,2007,Rabi       ,Rice,200,hg/ha,13344,Pesticides Use,tonnes of active ingredients,713.28,285,24105,312637,17.88,55.83288958,7.277422738
Karnataka,MYSORE,2007,Summer     ,Rice,16841,hg/ha,19384,Pesticides Use,tonnes of active ingredients,748.13,285,24105,312637,25.54,61.03273481,6.217974349
Karnataka,MYSORE,2008,Kharif     ,Rice,110591,hg/ha,5551,Pesticides Use,tonnes of active ingredients,1670,285,25497,312637,17.88,67.96910852,7.079850922
Karnataka,MYSORE,2008,Summer     ,Rice,13212,hg/ha,7333,Pesticides Use,tonnes of active ingredients,3303,1500,138613,335742,22.25,62.88179198,6.123796057
Karnataka,MYSORE,2009,Kharif     ,Rice,110196,hg/ha,9857,Pesticides Use,tonnes of active ingredients,1670,1500,248299,335742,20.78,55.51673151,6.273741983
Karnataka,MYSORE,2009,Summer     ,Rice,13454,hg/ha,7198,Pesticides Use,tonnes of active ingredients,3234.81,778,23378,335742,18.38,67.96910852,7.079850922
Karnataka,MYSORE,2010,Kharif     ,Rice,106382,hg/ha,40000,Pesticides Use,tonnes of active ingredients,3234.81,778,113035,335742,26,51.59100753,6.691541233
Karnataka,MYSORE,2010,Summer     ,Rice,18712,hg/ha,49502,Pesticides Use,tonnes of active ingredients,2953.36,1500,94599,335742,26,57.93250202,7.162802357
Karnataka,MYSORE,2011,Kharif     ,Rice,107820,hg/ha,85679,Pesticides Use,tonnes of active ingredients,2883,1500,258859,342580,20.72,50.50148528,7.131435858
Karnataka,MYSORE,2011,Rabi       ,Rice,4,hg/ha,101737,Pesticides Use,tonnes of active ingredients,3375.53,778,41271,342580,26.3,56.63636248,6.086922359
Karnataka,MYSORE,2011,Summer     ,Rice,13180,hg/ha,111451,Pesticides Use,tonnes of active ingredients,1670,1500,23172,342580,18.18,73.19897535,6.998787171
Karnataka,MYSORE,2012,Kharif     ,Rice,87894,hg/ha,89663,Pesticides Use,tonnes of active ingredients,1670,1500,118459,342580,25.78,70.95705996,7.311077075
Karnataka,MYSORE,2012,Rabi       ,Rice,240,hg/ha,200000,Pesticides Use,tonnes of active ingredients,2953.36,1500,95332,342580,20.72,57.36469955,7.261313694
Karnataka,MYSORE,2012,Summer     ,Rice,901,hg/ha,107143,Pesticides Use,tonnes of active ingredients,3164.45,1500,95332,342580,19.01,50.40609436,6.973839707
Karnataka,MYSORE,2013,Kharif     ,Rice,91737,hg/ha,241997,Pesticides Use,tonnes of active ingredients,3094.08,1500,262528,345026,18.01,60.76645256,6.485761419
Karnataka,MYSORE,2013,Rabi       ,Rice,50,hg/ha,56875,Pesticides Use,tonnes of active ingredients,1670,1500,48956,345026,20.33,54.28617819,6.854011265
Karnataka,MYSORE,2013,Summer     ,Rice,10661,hg/ha,70000,Pesticides Use,tonnes of active ingredients,2883,1500,25497,345026,27.36,68.66257977,6.536676653
Karnataka,MYSORE,2014,Kharif     ,Rice,94359,hg/ha,191918,Pesticides Use,tonnes of active ingredients,44.18,1834,25198,118930.56,26.08,56.46829641,7.288211994
Karnataka,MYSORE,2014,Summer     ,Rice,8864,hg/ha,26144,Pesticides Use,tonnes of active ingredients,994,641,23533,118930.56,26.08,73.48655995,6.253408852
